Name                       ,ID                               ,Short Description                                          ,Tier
Bin2Dec                    ,Bin2Dec-App                      ,Binary-to-Decimal number converter                         ,1-Beginner
Border Radius Previewer    ,Border-Radius-Previewer          ,Preview how CSS3 border-radius values affect an element    ,1-Beginner
Calculator                 ,Calculator-App                   ,Calculator                                                 ,1-Beginner
Christmas Lights           ,Christmas-Lights-App             ,Simulate a string of Christmas lights                      ,1-Beginner
Cause Effect App           ,Cause-Effect-App                 ,Click list item to display item details                    ,1-Beginner
Color Cycle                ,Color-Cycle-App                  ,Cycle a color value through incremental changes            ,1-Beginner
Countdown Timer            ,Countdown-Timer-App              ,Event Countdown timer                                      ,1-Beginner
CSV2JSON App               ,CSV2JSON-App                     ,CSV to JSON converter                                      ,1-Beginner
Dollars to Cents           ,Dollars-To-Cents-App             ,Convert dollars to cents                                   ,1-Beginner
Dynamic CSS Variables      ,Dynamic-CSSVar-app               ,Dynamically change CSS variable settings                   ,1-Beginner
First DB App               ,First-DB-App                     ,Your first Database app!                                   ,1-Beginner
Flip Image                 ,Flip-Image-App                   ,Change the orientation of images across two axes           ,1-Beginner
GitHub Status              ,GitHub-Status-App                ,Display Current GitHub Status                              ,1-Beginner
Hello                      ,Hello-App                        ,User native language greeting                              ,1-Beginner
IOT Mailbox Simulator      ,IOT-Mailbox-App                  ,Use callbacks to check your snail mail                     ,1-Beginner
JS Input Validation        ,Javascript-Validation-With-Regex ,Script to validate inputs entered by a user using RegEx    ,1-Beginner
JSON2CSV App               ,JSON2CSV-App                     ,JSON to CSV converter                                      ,1-Beginner
Key Value                  ,Key-Value-App                    ,Keyboard Event Values                                      ,1-Beginner
Lorem Ipsum Generator      ,Lorem-Ipsum-Generator            ,Generate lorem ipsum placeholder text                      ,1-Beginner
Notes App                  ,Notes-App                        ,Create an online note pad                                  ,1-Beginner
Pearson Regression         ,Pearson-Regression-App           ,Calculate the correlation coefficient for two sets of data ,1-Beginner
Pomodoro Clock             ,Pomodoro-Clock                   ,Task timer to aid personal productivity                    ,1-Beginner
Product Landing Page       ,Product-Landing-Page             ,Showcase product details for possible buyers               ,1-Beginner
Quiz App                   ,Quiz-App                         ,Test your knowledge by answering questions                 ,1-Beginner
Recipe App                 ,Recipe-App                       ,Recipe                                                     ,1-Beginner
Random Meal Generator      ,Random-Number-Generator          ,Generate random meals                                      ,1-Beginner
Random Number Generator    ,Random-Meal-Generator            ,Generate random number between range.                      ,1-Beginner
Roman to Decimal Converter ,Roman-to-Decimal-Converter       ,Convert Roman to Decimal numbers                           ,1-Beginner
Slider Design              ,Slider-Design                    ,Display images using a slider control                      ,1-Beginner
Stopwatch App              ,Stopwatch-App                    ,Count time spent on activities                             ,1-Beginner
TrueOrFalse                ,True-or-False-App                ,Identify the result of a conditional comparison            ,1-Beginner
Vigenere Cipher            ,Vigenere-Cipher                  ,Encrypt text using the Vigenere Cypher                     ,1-Beginner
Wind Chill                 ,Windchill-App                    ,Calculate the windchill factor from an actual temperature  ,1-Beginner
Word Frequency             ,Word-Frequency-App               ,Calculate word frequency in a block of text                ,1-Beginner
Weather App                ,Weather-App                      ,Get the temperature and weather condition of a city.       ,1-Beginner
Bit Masks                  ,Bit-Masks-App                    ,Using Bit Masks for Conditions                             ,2-Intermediate
Book Finder App            ,Book-Finder-App                  ,Search for books by multiple criteria                      ,2-Intermediate
Calculator CLI             ,Calculator-CLI                   ,Create a basic calculator cli.                             ,2-Intermediate
Card Memory Game           ,Card-Memory-Game                 ,Memorize and match hidden images                           ,2-Intermediate
Charity Finder App         ,Charity-Finder-App               ,Find a Global Charity to donate to                         ,2-Intermediate
Chrome Theme Extension     ,Chrome-Theme-Extension           ,Build your own chrome theme extention.                     ,2-Intermediate
Currency Converter         ,Currency-Converter               ,Convert one currency to another.                           ,2-Intermediate
Drawing App                ,Drawing-App                      ,Create digital artwork on the web                          ,2-Intermediate
Emoji Translator App       ,Emoji-Translator-App             ,Translate sentences into Emoji                             ,2-Intermediate
Flashcards App             ,FlashCards-App                   ,Review and test your knowledge through Flash Cards         ,2-Intermediate
Flip Art App               ,Flip-Art-App                     ,Animate a set of images                                    ,2-Intermediate
Game Suggestion App        ,Game-Suggestion-App              ,Create polls to decide what games to play                  ,2-Intermediate
GitHub Profiles            ,GitHub-Profiles                  ,A GitHub user search App                                   ,2-Intermediate
HighStriker Game           ,HighStriker-Game                 ,Highstriker strongman carnival game                        ,2-Intermediate
Image Scanner              ,Image-Scaner                     ,Image Scanner App                                          ,2-Intermediate
Markdown Previewer         ,Markdown-Previewer               ,Preview text formatted in GitHub flavored markdown         ,2-Intermediate
Markdown Table Generator   ,Markdown-Table-Generator         ,Convert a table into Markdown-formatted text               ,2-Intermediate
Math Editor                ,math-editor                      ,A math editor for students to use                          ,2-Intermediate
Meme Generator App         ,Meme-Generator-App               ,Create custom memes                                        ,2-Intermediate
Name Generation using RNNs ,Name-Generator                   ,Generate names using names dataset                         ,2-Intermediate
Password Generator         ,Password-Generator               ,Generate random passwords                                  ,2-Intermediate
Podcast Directory          ,Podcast-Directory-App            ,Directory of favorite podcasts                             ,2-Intermediate
QR Code Badge Generator    ,QRCode-Badge-App                 ,Encode badge info in a QRcode                              ,2-Intermediate
Regular Expression Helper  ,RegExp-Helper-App                ,Test Regular Expressions                                   ,2-Intermediate
Sales Reciepts App         ,Sales-DB-App                     ,Record Sales Receipts in a DB                              ,2-Intermediate
Simple Online Store        ,Simple-Online-Store              ,Simple Online Store                                        ,2-Intermediate
Sports Bracket Generator   ,Sports-Bracket-Generator         ,Generate a sports bracket diagram                          ,2-Intermediate
String Art                 ,String-Art                       ,An animation of colored strings                            ,2-Intermediate
This or That Game          ,This-or-That-Game                ,This or That Game                                          ,2-Intermediate
Timezone Slackbot          ,Timezone-Slackbot                ,Display Team Timezones                                     ,2-Intermediate
To-Do App                  ,To-Do-App                        ,Manage personal to-do tasks                                ,2-Intermediate
Typing Practice            ,Typing-Practice-App              ,Typing Practice                                            ,2-Intermediate
Voting App                 ,Voting-App                       ,Voting App                                                 ,2-Intermediate